"","WaterBody","DateTime","yyyy","mm","dd","doy","hh","Temp","Salinity","CO2","DO","pH"
"1","CB",2015-04-23 19:00:00,2015,4,23,113,15,6.20955,27.5975678995707,NA,410.400390625,8.1373
"2","CB",2015-04-23 20:00:00,2015,4,23,113,16,6.5244,27.5031993171088,283,406.25,8.1422
"3","CB",2015-04-23 21:00:00,2015,4,23,113,17,6.5416,27.5689558557548,299.3,412.7197265625,8.1626
"4","CB",2015-04-23 22:00:00,2015,4,23,113,18,6.31145,27.7175657453796,338.1,409.423828125,8.1527
"5","CB",2015-04-23 23:00:00,2015,4,23,113,19,6.122,28.2889759697726,354.5,407.2265625,8.1449
"6","CB",2015-04-24 00:00:00,2015,4,23,113,20,6.0646,28.3797627067972,330.2,408.447265625,8.1569
"7","CB",2015-04-24 01:00:00,2015,4,23,113,21,5.7472,28.9138271040918,335.3,404.052734375,8.1402
"8","CB",2015-04-24 02:00:00,2015,4,23,113,22,6.32945,27.9616456122983,312.4,409.5458984375,8.1679
"9","CB",2015-04-24 03:00:00,2015,4,23,113,23,6.6326,26.2726394808397,299.6,409.423828125,8.183
"10","CB",2015-04-24 04:00:00,2015,4,24,114,0,6.6016,25.1546826187642,280.6,405.1513671875,8.1786
"11","CB",2015-04-24 05:00:00,2015,4,24,114,1,6.5055,25.7413481313239,288.8,405.029296875,8.1689
"12","CB",2015-04-24 06:00:00,2015,4,24,114,2,6.4437,26.369119972771,293.1,400.2685546875,8.1602
"13","CB",2015-04-24 07:00:00,2015,4,24,114,3,6.2748,27.572557467216,311,401.3671875,8.1467
"14","CB",2015-04-24 08:00:00,2015,4,24,114,4,6.03955,27.9286266896516,308.7,404.052734375,8.1551
"15","CB",2015-04-24 09:00:00,2015,4,24,114,5,6.0995,28.0928158474615,317.2,404.4189453125,8.151
"16","CB",2015-04-24 10:00:00,2015,4,24,114,6,6.06165,27.9704316145896,320.4,400.5126953125,8.1426
"17","CB",2015-04-24 11:00:00,2015,4,24,114,7,6.01485,27.9865529694696,309.1,405.1513671875,8.1577
"18","CB",2015-04-24 12:00:00,2015,4,24,114,8,5.7941,28.4523358428402,327.8,402.9541015625,8.1453
"19","CB",2015-04-24 13:00:00,2015,4,24,114,9,5.6179,29.0872840964054,329.7,404.1748046875,8.1385
"20","CB",2015-04-24 14:00:00,2015,4,24,114,10,5.6525,29.2360176646502,324.3,406.25,8.15255
"21","CB",2015-04-24 15:00:00,2015,4,24,114,11,5.69165,29.2683745213118,324,406.3720703125,8.1566
"22","CB",2015-04-24 16:00:00,2015,4,24,114,12,5.8581,28.8564687770823,315,408.5693359375,8.169
"23","CB",2015-04-24 17:00:00,2015,4,24,114,13,6.19305,27.1480293881902,308.2,395.3857421875,8.1634
"24","CB",2015-04-24 18:00:00,2015,4,24,114,14,6.55495,26.5962148252254,290.6,412.4755859375,8.2013
"25","CB",2015-04-24 19:00:00,2015,4,24,114,15,6.6321,26.0727915048543,291.6,394.6533203125,8.1552
"26","CB",2015-04-24 20:00:00,2015,4,24,114,16,6.653,26.1217339281335,291.9,399.2919921875,8.1613
"27","CB",2015-04-24 21:00:00,2015,4,24,114,17,6.51295,26.8389070138445,293.5,402.34375,8.16045
"28","CB",2015-04-24 22:00:00,2015,4,24,114,18,6.46005,27.4509401289952,290.8,406.494140625,8.1617
"29","CB",2015-04-24 23:00:00,2015,4,24,114,19,6.4755,27.7280342005456,291.4,408.5693359375,8.16665
"30","CB",2015-04-25 00:00:00,2015,4,24,114,20,6.31895,27.7641437729857,290.1,408.5693359375,8.1696
"31","CB",2015-04-25 01:00:00,2015,4,24,114,21,6.20745,27.8523447937935,290.5,406.494140625,8.1607
"32","CB",2015-04-25 02:00:00,2015,4,24,114,22,6.17585,28.1700602389795,302.2,402.7099609375,8.1551
"33","CB",2015-04-25 03:00:00,2015,4,24,114,23,6.2892,28.4254555164796,298.6,409.1796875,8.1682
"34","CB",2015-04-25 04:00:00,2015,4,25,115,0,6.21925,28.501313563428,297.7,409.0576171875,8.1665
"35","CB",2015-04-25 05:00:00,2015,4,25,115,1,6.5509,27.3990586285195,297.8,399.5361328125,8.16205
"36","CB",2015-04-25 06:00:00,2015,4,25,115,2,6.5149,27.2602584032576,293.4,403.564453125,8.16375
"37","CB",2015-04-25 07:00:00,2015,4,25,115,3,6.4435,27.2840010059227,299.1,401.7333984375,8.1542
"38","CB",2015-04-25 08:00:00,2015,4,25,115,4,6.2921,27.3296429197462,304.9,393.4326171875,8.1467
"39","CB",2015-04-25 09:00:00,2015,4,25,115,5,6.2899,27.7570258456937,308.1,397.8271484375,8.1472
"40","CB",2015-04-25 10:00:00,2015,4,25,115,6,6.35435,28.2127650620445,308.6,403.9306640625,8.149
"41","CB",2015-04-25 11:00:00,2015,4,25,115,7,6.24785,28.0353220309929,306.8,401.123046875,8.14975
"42","CB",2015-04-25 12:00:00,2015,4,25,115,8,6.0595,28.2465535229842,307.5,398.8037109375,8.1488
"43","CB",2015-04-25 13:00:00,2015,4,25,115,9,5.5184,29.5040333566337,320.4,401.7333984375,8.1357
"44","CB",2015-04-25 14:00:00,2015,4,25,115,10,5.5914,29.5774576485054,332.9,401.123046875,8.1299
"45","CB",2015-04-25 15:00:00,2015,4,25,115,11,5.71495,29.2301075105197,326,399.658203125,8.14155
"46","CB",2015-04-25 16:00:00,2015,4,25,115,12,5.7554,29.2167012555578,328.7,399.0478515625,8.1443
"47","CB",2015-04-25 17:00:00,2015,4,25,115,13,5.82735,29.1647858223211,318.5,405.2734375,8.155
"48","CB",2015-04-25 18:00:00,2015,4,25,115,14,6.3653,27.5697901346586,299.7,407.1044921875,8.1708
"49","CB",2015-04-25 19:00:00,2015,4,25,115,15,6.57605,27.4813466569297,291.3,404.4189453125,8.17
"50","CB",2015-04-25 20:00:00,2015,4,25,115,16,6.73545,27.4019093775603,285,409.912109375,8.1732
"51","CB",2015-04-25 21:00:00,2015,4,25,115,17,6.78035,27.6951485750897,282.4,410.888671875,8.1831
"52","CB",2015-04-25 22:00:00,2015,4,25,115,18,6.51895,27.8606201367223,306.8,413.0859375,8.14075
"53","CB",2015-04-25 23:00:00,2015,4,25,115,19,6.66245,27.9539117075476,308.8,404.9072265625,8.1453
"54","CB",2015-04-26 00:00:00,2015,4,25,115,20,6.5635,27.9574138690938,294.7,411.0107421875,8.1639
"55","CB",2015-04-26 01:00:00,2015,4,25,115,21,6.5731,28.2723233275521,302.4,407.1044921875,8.1565
"56","CB",2015-04-26 02:00:00,2015,4,25,115,22,6.56525,28.3567438482917,299.9,407.958984375,8.1546
"57","CB",2015-04-26 03:00:00,2015,4,25,115,23,6.6114,28.3135388962009,303.7,406.25,8.1504
"58","CB",2015-04-26 04:00:00,2015,4,26,116,0,6.28765,28.5825935669715,306.1,402.7099609375,8.1533
"59","CB",2015-04-26 05:00:00,2015,4,26,116,1,6.241,28.6937444091699,311.2,404.78515625,8.15025
"60","CB",2015-04-26 06:00:00,2015,4,26,116,2,6.5859,28.0587126002203,308.7,401.85546875,8.15715
"61","CB",2015-04-26 07:00:00,2015,4,26,116,3,6.64425,27.5532909650513,305.4,401.4892578125,8.1497
"62","CB",2015-04-26 08:00:00,2015,4,26,116,4,6.5569,27.6176109835462,313.3,400.7568359375,8.1375
"63","CB",2015-04-26 09:00:00,2015,4,26,116,5,6.43825,27.9555097672145,316.9,399.2919921875,8.1343
"64","CB",2015-04-26 10:00:00,2015,4,26,116,6,6.08885,28.4194171288812,326.8,396.484375,8.1256
"65","CB",2015-04-26 11:00:00,2015,4,26,116,7,6.4273,28.1811520058907,331.3,394.8974609375,8.1266
"66","CB",2015-04-26 12:00:00,2015,4,26,116,8,6.25495,28.4928267695237,331.3,397.5830078125,8.1196
"67","CB",2015-04-26 13:00:00,2015,4,26,116,9,6.18375,28.5112283604046,322.9,396.97265625,8.1306
"68","CB",2015-04-26 14:00:00,2015,4,26,116,10,5.7858,29.0492070823874,332.4,397.4609375,8.1204
"69","CB",2015-04-26 15:00:00,2015,4,26,116,11,5.70275,29.5516755250219,337.7,398.5595703125,8.1224
"70","CB",2015-04-26 16:00:00,2015,4,26,116,12,5.6788,29.5810819158402,339,395.1416015625,8.1253
"71","CB",2015-04-26 17:00:00,2015,4,26,116,13,5.829,29.3945130412284,334.1,399.90234375,8.1377
"72","CB",2015-04-26 18:00:00,2015,4,26,116,14,6.7517,26.6387279178665,324.8,396.728515625,8.146
"73","CB",2015-04-26 19:00:00,2015,4,26,116,15,6.88435,26.9132041974669,307.9,398.0712890625,8.1442
"74","CB",2015-04-26 20:00:00,2015,4,26,116,16,6.758,26.9670481540244,309.2,395.99609375,8.13835
"75","CB",2015-04-26 21:00:00,2015,4,26,116,17,6.6339,27.5789571847435,315.7,400.390625,8.1331
"76","CB",2015-04-26 22:00:00,2015,4,26,116,18,6.3172,28.1965622627249,312.8,409.423828125,8.14205
"77","CB",2015-04-26 23:00:00,2015,4,26,116,19,5.7404,29.656272719264,311.2,411.4990234375,8.1568
"78","CB",2015-04-27 00:00:00,2015,4,26,116,20,6.2416,28.9628833143959,315.2,411.865234375,8.1517
"79","CB",2015-04-27 01:00:00,2015,4,26,116,21,6.27985,28.922371311229,307.3,407.958984375,8.154
"80","CB",2015-04-27 02:00:00,2015,4,26,116,22,6.04115,29.1645400157752,315.3,406.005859375,8.1424
"81","CB",2015-04-27 03:00:00,2015,4,26,116,23,5.60135,29.4188469651386,318.5,405.8837890625,8.1406
"82","CB",2015-04-27 04:00:00,2015,4,27,117,0,5.5931,29.7791598527851,335.5,400.2685546875,8.13125
"83","CB",2015-04-27 05:00:00,2015,4,27,117,1,5.5414,29.8254935844599,334,401.85546875,8.13775
"84","CB",2015-04-27 06:00:00,2015,4,27,117,2,5.63075,29.8560449004151,345.9,399.2919921875,8.1258
"85","CB",2015-04-27 07:00:00,2015,4,27,117,3,6.8143,26.6507391743364,312.7,398.3154296875,8.1561
"86","CB",2015-04-27 08:00:00,2015,4,27,117,4,6.8234,26.9152127648569,NA,400.2685546875,8.1472
"87","CB",2015-04-27 09:00:00,2015,4,27,117,5,6.71325,27.4361606311591,286.9,399.2919921875,8.1424
"88","CB",2015-04-27 10:00:00,2015,4,27,117,6,6.82755,27.3040409081242,298.9,393.06640625,8.1334
"89","CB",2015-04-27 11:00:00,2015,4,27,117,7,6.34745,28.19402070773,325.6,392.4560546875,8.11435
"90","CB",2015-04-27 12:00:00,2015,4,27,117,8,6.495,28.1009144737038,322.9,400.0244140625,8.12895
"91","CB",2015-04-27 13:00:00,2015,4,27,117,9,6.3063,28.3962127946465,329.6,396.240234375,8.1233
"92","CB",2015-04-27 14:00:00,2015,4,27,117,10,6.1895,28.5490846537038,324.8,398.92578125,8.13225
"93","CB",2015-04-27 15:00:00,2015,4,27,117,11,6.15875,28.8755031039499,340.2,391.7236328125,8.1137
"94","CB",2015-04-27 16:00:00,2015,4,27,117,12,6.3607,28.8840188077145,336.2,397.8271484375,8.1268
"95","CB",2015-04-27 17:00:00,2015,4,27,117,13,6.39525,28.7019732464905,329.2,400.87890625,8.1371
"96","CB",2015-04-27 18:00:00,2015,4,27,117,14,6.69835,28.1576148251795,323.5,400.5126953125,8.13905
"97","CB",2015-04-27 19:00:00,2015,4,27,117,15,6.98415,27.4049085612256,324.7,391.9677734375,8.132
"98","CB",2015-04-27 20:00:00,2015,4,27,117,16,7.032,27.288133077468,325.7,391.2353515625,8.1276
"99","CB",2015-04-27 21:00:00,2015,4,27,117,17,7.0463,27.3301570487807,309.4,403.1982421875,8.1453
"100","CB",2015-04-27 22:00:00,2015,4,27,117,18,7.20745,27.4075225583554,301.4,409.7900390625,8.15995
"101","CB",2015-04-27 23:00:00,2015,4,27,117,19,7.18375,27.4345771146469,286.4,412.353515625,8.17205
"102","CB",2015-04-28 00:00:00,2015,4,27,117,20,7.16925,27.5106870567236,299.1,408.0810546875,8.1503
"103","CB",2015-04-28 01:00:00,2015,4,27,117,21,7.258,27.5700550474561,317,395.751953125,8.1354
"104","CB",2015-04-28 02:00:00,2015,4,27,117,22,6.98025,27.8169866812621,314.4,401.123046875,8.13345
"105","CB",2015-04-28 03:00:00,2015,4,27,117,23,6.2817,28.8777468288581,311.2,406.1279296875,8.1423
"106","CB",2015-04-28 04:00:00,2015,4,28,118,0,6.56035,28.8227214904956,329.4,404.296875,8.1245
"107","CB",2015-04-28 05:00:00,2015,4,28,118,1,6.5484,28.8497681458566,327.1,401.4892578125,8.1322
"108","CB",2015-04-28 06:00:00,2015,4,28,118,2,6.6037,28.7827495017347,329.3,400.2685546875,8.1326
"109","CB",2015-04-28 07:00:00,2015,4,28,118,3,6.6979,28.614643083966,332.7,396.97265625,8.128
"110","CB",2015-04-28 08:00:00,2015,4,28,118,4,6.829,28.3339320897049,336.5,392.333984375,8.1232
"111","CB",2015-04-28 09:00:00,2015,4,28,118,5,6.78985,28.3592079511327,339.7,388.3056640625,8.1175
"112","CB",2015-04-28 10:00:00,2015,4,28,118,6,6.6899,28.4583385272397,353.7,381.8359375,8.1011
"113","CB",2015-04-28 11:00:00,2015,4,28,118,7,6.6975,28.4384406575512,340.2,385.25390625,8.1147
"114","CB",2015-04-28 12:00:00,2015,4,28,118,8,6.692,28.4087986053421,328.6,389.404296875,8.13095
"115","CB",2015-04-28 13:00:00,2015,4,28,118,9,6.60025,28.4562778891262,325.9,393.9208984375,8.1316
"116","CB",2015-04-28 14:00:00,2015,4,28,118,10,6.59815,28.4047301456116,347.4,382.2021484375,8.1075
"117","CB",2015-04-28 15:00:00,2015,4,28,118,11,6.52495,28.5850355838041,332.5,387.6953125,8.1241
"118","CB",2015-04-28 16:00:00,2015,4,28,118,12,6.5064,28.7124826533431,329.4,390.0146484375,8.12685
"119","CB",2015-04-28 17:00:00,2015,4,28,118,13,6.50905,28.8644826510086,325.6,393.798828125,8.1353
"120","CB",2015-04-28 18:00:00,2015,4,28,118,14,6.5003,28.9405173203067,320.3,397.705078125,8.1455
"121","CB",2015-04-28 19:00:00,2015,4,28,118,15,6.69535,28.8472976268034,318.4,400.146484375,8.1493
"122","CB",2015-04-28 20:00:00,2015,4,28,118,16,6.88965,28.7750268050363,321,401.7333984375,8.151
"123","CB",2015-04-28 21:00:00,2015,4,28,118,17,7.39055,28.5999795176284,312,403.6865234375,8.1514
"124","CB",2015-04-28 22:00:00,2015,4,28,118,18,7.43005,28.0898383904781,312.8,399.7802734375,8.14275
"125","CB",2015-04-28 23:00:00,2015,4,28,118,19,7.5375,28.0549444316258,300.5,410.15625,8.158
"126","CB",2015-04-29 00:00:00,2015,4,28,118,20,7.6179,28.0459762137915,302,407.71484375,8.15245
"127","CB",2015-04-29 01:00:00,2015,4,28,118,21,7.60985,28.0623954061178,334.1,391.9677734375,8.1152
"128","CB",2015-04-29 02:00:00,2015,4,28,118,22,7.50985,28.1680630042206,314.9,401.4892578125,8.1382
"129","CB",2015-04-29 03:00:00,2015,4,28,118,23,7.7551,28.1677358822732,328.3,395.263671875,8.1189
"130","CB",2015-04-29 04:00:00,2015,4,29,119,0,7.36115,28.5329088741409,325.3,395.01953125,8.1227
"131","CB",2015-04-29 05:00:00,2015,4,29,119,1,6.9791,29.0367438456828,324.3,397.4609375,8.1284
"132","CB",2015-04-29 06:00:00,2015,4,29,119,2,6.9991,29.0462445743862,325.7,396.8505859375,8.13375
"133","CB",2015-04-29 07:00:00,2015,4,29,119,3,7.0255,29.0051736936573,331.5,392.7001953125,8.1264
"134","CB",2015-04-29 08:00:00,2015,4,29,119,4,6.7624,29.276713788602,329.1,397.216796875,8.1363
"135","CB",2015-04-29 09:00:00,2015,4,29,119,5,7.54425,28.370706202039,322.9,391.357421875,8.1414
"136","CB",2015-04-29 10:00:00,2015,4,29,119,6,7.59205,28.1463249463908,318.6,386.8408203125,8.1378
"137","CB",2015-04-29 11:00:00,2015,4,29,119,7,7.4241,28.2486949270576,316.3,387.939453125,8.1417
"138","CB",2015-04-29 12:00:00,2015,4,29,119,8,6.8475,28.7777220592292,332.7,390.9912109375,8.1181
"139","CB",2015-04-29 13:00:00,2015,4,29,119,9,6.65045,29.0884423625807,336.7,387.939453125,8.1237
"140","CB",2015-04-29 14:00:00,2015,4,29,119,10,7.1925,28.7376993857502,336.6,391.6015625,8.1314
"141","CB",2015-04-29 15:00:00,2015,4,29,119,11,7.00275,28.6940612771214,343.7,384.765625,8.1108
"142","CB",2015-04-29 16:00:00,2015,4,29,119,12,6.99905,28.7864563248113,338.9,386.23046875,8.127
"143","CB",2015-04-29 17:00:00,2015,4,29,119,13,6.9029,28.9682613727526,333.5,388.7939453125,8.1278
"144","CB",2015-04-29 18:00:00,2015,4,29,119,14,6.65875,29.0496748561577,334.5,388.427734375,8.12425
"145","CB",2015-04-29 19:00:00,2015,4,29,119,15,6.77015,29.1782730703797,332,393.06640625,8.1381
"146","CB",2015-04-29 20:00:00,2015,4,29,119,16,7.09325,29.2030645016001,330.1,391.9677734375,8.1414
"147","CB",2015-04-29 21:00:00,2015,4,29,119,17,7.1534,29.0222569190857,323.3,394.8974609375,8.14765
"148","CB",2015-04-29 22:00:00,2015,4,29,119,18,7.31515,28.954690936965,318.2,398.4375,8.1496
"149","CB",2015-04-29 23:00:00,2015,4,29,119,19,7.42785,28.8538786280229,311,404.6630859375,8.1589
"150","CB",2015-04-30 00:00:00,2015,4,29,119,20,7.25005,28.882349507334,302,404.6630859375,8.1735
"151","CB",2015-04-30 01:00:00,2015,4,29,119,21,6.75495,29.0852216639918,308.3,401.2451171875,8.1567
"152","CB",2015-04-30 02:00:00,2015,4,29,119,22,6.5485,29.5592610567093,323.2,396.240234375,8.14445
"153","CB",2015-04-30 03:00:00,2015,4,29,119,23,6.9058,29.4620797466376,326,396.6064453125,8.1406
"154","CB",2015-04-30 04:00:00,2015,4,30,120,0,6.99425,29.4710088830399,322.1,398.92578125,8.1498
"155","CB",2015-04-30 05:00:00,2015,4,30,120,1,6.3421,29.4781107271951,328.7,391.6015625,8.13625
"156","CB",2015-04-30 06:00:00,2015,4,30,120,2,6.458,29.5866835974529,338.5,394.04296875,8.12495
"157","CB",2015-04-30 07:00:00,2015,4,30,120,3,6.60635,29.6823293907166,337.2,393.5546875,8.1337
"158","CB",2015-04-30 08:00:00,2015,4,30,120,4,6.5062,29.7142193478703,335.3,394.1650390625,8.1397
"159","CB",2015-04-30 09:00:00,2015,4,30,120,5,6.5441,29.6047636624586,347.1,393.1884765625,8.1276
"160","CB",2015-04-30 10:00:00,2015,4,30,120,6,7.3729,27.5119113453167,331.2,386.8408203125,8.1305
"161","CB",2015-04-30 11:00:00,2015,4,30,120,7,7.38675,27.6944741332674,331,386.474609375,8.1259
"162","CB",2015-04-30 12:00:00,2015,4,30,120,8,7.18845,27.8079674541141,340.1,380.37109375,8.1138
"163","CB",2015-04-30 13:00:00,2015,4,30,120,9,6.8026,29.2111423169438,338.8,389.7705078125,8.1213
"164","CB",2015-04-30 14:00:00,2015,4,30,120,10,6.85325,29.2796249536869,342.9,387.6953125,8.1221
"165","CB",2015-04-30 15:00:00,2015,4,30,120,11,7.05975,29.1269890639417,339.8,388.5498046875,8.1251
"166","CB",2015-04-30 16:00:00,2015,4,30,120,12,6.9617,28.8212354290694,338.9,386.3525390625,8.1189
"167","CB",2015-04-30 17:00:00,2015,4,30,120,13,6.86805,28.8955292910612,346.4,384.1552734375,8.1179
"168","CB",2015-04-30 18:00:00,2015,4,30,120,14,6.8159,29.0425889354148,313.4,407.1044921875,8.15205
"169","CB",2015-04-30 19:00:00,2015,4,30,120,15,6.34055,29.4124469306291,327.6,396.6064453125,8.1398
"170","CB",2015-04-30 20:00:00,2015,4,30,120,16,6.72045,29.5678226655712,337.8,395.751953125,8.1327
"171","CB",2015-04-30 21:00:00,2015,4,30,120,17,7.1461,29.1543038582084,NA,396.728515625,8.1392
"172","CB",2015-04-30 22:00:00,2015,4,30,120,18,7.37755,29.0166959149508,274.2,412.4755859375,8.1782
"173","CB",2015-04-30 23:00:00,2015,4,30,120,19,7.8675,28.2469128378918,297.3,405.76171875,8.1494
"174","CB",2015-05-01 00:00:00,2015,4,30,120,20,7.71665,28.2386323630713,310.6,403.9306640625,8.147
"175","CB",2015-05-01 01:00:00,2015,4,30,120,21,6.7569,28.810740363901,289.6,412.9638671875,8.17525
"176","CB",2015-05-01 02:00:00,2015,4,30,120,22,6.3664,29.6057170073865,317.8,402.099609375,8.14615
"177","CB",2015-05-01 03:00:00,2015,4,30,120,23,6.45325,29.8063715074126,326.8,400.2685546875,8.1416
"178","CB",2015-05-01 04:00:00,2015,5,1,121,0,6.6643,29.6641920336507,329.6,400.2685546875,8.1409
"179","CB",2015-05-01 05:00:00,2015,5,1,121,1,6.22205,29.7277058493813,331.5,401.3671875,8.14
"180","CB",2015-05-01 06:00:00,2015,5,1,121,2,6.1401,29.9073965095829,346.1,394.8974609375,8.1244
"181","CB",2015-05-01 07:00:00,2015,5,1,121,3,6.1458,30.0145857412599,352.4,389.6484375,8.1202
"182","CB",2015-05-01 08:00:00,2015,5,1,121,4,6.3798,29.9551372312052,349.3,395.751953125,8.1268
"183","CB",2015-05-01 09:00:00,2015,5,1,121,5,6.31895,29.8955217570827,351.8,393.798828125,8.12545
"184","CB",2015-05-01 10:00:00,2015,5,1,121,6,6.4033,29.8917872203044,350,396.484375,8.1302
"185","CB",2015-05-01 11:00:00,2015,5,1,121,7,7.33985,28.4648502724635,354.5,386.5966796875,8.11785
"186","CB",2015-05-01 12:00:00,2015,5,1,121,8,7.37525,28.1573012457653,340.1,388.5498046875,8.1208
"187","CB",2015-05-01 13:00:00,2015,5,1,121,9,7.21475,28.254994009961,346.8,384.521484375,8.1117
"188","CB",2015-05-01 14:00:00,2015,5,1,121,10,6.8234,28.9894494075845,351,385.986328125,8.1134
"189","CB",2015-05-01 15:00:00,2015,5,1,121,11,7.043,29.1087173135668,356.3,384.8876953125,8.1101
"190","CB",2015-05-01 16:00:00,2015,5,1,121,12,6.95455,29.1189021483816,347.6,388.3056640625,8.1175
"191","CB",2015-05-01 17:00:00,2015,5,1,121,13,6.8713,29.224853294224,344.2,394.1650390625,8.12015
"192","CB",2015-05-01 18:00:00,2015,5,1,121,14,6.3513,29.4800047327715,339.5,394.8974609375,8.1278
"193","CB",2015-05-01 19:00:00,2015,5,1,121,15,6.37155,29.7329054775097,344.2,396.97265625,8.1254
"194","CB",2015-05-01 20:00:00,2015,5,1,121,16,6.47835,29.8047561358847,341,397.705078125,8.1299
"195","CB",2015-05-01 21:00:00,2015,5,1,121,17,6.38965,29.8083152220438,337.3,404.6630859375,8.1385
"196","CB",2015-05-01 22:00:00,2015,5,1,121,18,6.43885,29.8327935355279,330.6,408.69140625,8.14785
"197","CB",2015-05-01 23:00:00,2015,5,1,121,19,7.14655,29.8897855394628,304.8,413.9404296875,8.1813
"198","CB",2015-05-02 00:00:00,2015,5,1,121,20,7.51325,29.7939067649901,259.1,414.1845703125,8.22865
"199","CB",2015-05-02 01:00:00,2015,5,1,121,21,7.6516,29.7162071314356,270.7,414.306640625,8.2075
"200","CB",2015-05-02 02:00:00,2015,5,1,121,22,7.4623,29.5954232086667,298,414.0625,8.1754
"201","CB",2015-05-02 03:00:00,2015,5,1,121,23,7.039,29.6833802370716,302.7,412.2314453125,8.1797
"202","CB",2015-05-02 04:00:00,2015,5,2,122,0,6.62835,29.7613063124287,308.9,412.2314453125,8.1664
"203","CB",2015-05-02 05:00:00,2015,5,2,122,1,6.7506,29.7682753988994,329.6,408.5693359375,8.1325
"204","CB",2015-05-02 06:00:00,2015,5,2,122,2,7.05855,29.7228541256397,327.8,407.8369140625,8.1405
"205","CB",2015-05-02 07:00:00,2015,5,2,122,3,6.60895,29.7482982981649,336,401.611328125,8.1287
"206","CB",2015-05-02 08:00:00,2015,5,2,122,4,6.3583,30.082170250657,345.3,401.7333984375,8.1286
"207","CB",2015-05-02 09:00:00,2015,5,2,122,5,6.59435,30.0532983711821,345.8,402.34375,8.1333
"208","CB",2015-05-02 10:00:00,2015,5,2,122,6,6.6702,29.9675067500315,345.1,401.85546875,8.1192
"209","CB",2015-05-02 11:00:00,2015,5,2,122,7,6.68445,29.8927968934475,345.1,404.1748046875,8.128
"210","CB",2015-05-02 12:00:00,2015,5,2,122,8,7.1835,29.2096980596529,360.5,391.7236328125,8.1079
"211","CB",2015-05-02 13:00:00,2015,5,2,122,9,7.3334,29.0219136732571,350.3,389.2822265625,8.11735
"212","CB",2015-05-02 14:00:00,2015,5,2,122,10,7.3237,29.0274061428444,356.7,385.986328125,8.1039
"213","CB",2015-05-02 15:00:00,2015,5,2,122,11,6.99415,29.2124070465813,353.5,394.04296875,8.1113
"214","CB",2015-05-02 16:00:00,2015,5,2,122,12,7.0682,29.5160678510721,350,395.263671875,8.1181
"215","CB",2015-05-02 17:00:00,2015,5,2,122,13,7.0395,29.5385986108532,346.6,397.94921875,8.1205
"216","CB",2015-05-02 18:00:00,2015,5,2,122,14,6.77255,29.6816232082115,342.4,401.4892578125,8.1238
"217","CB",2015-05-02 19:00:00,2015,5,2,122,15,6.59005,29.8096043389081,343.2,407.3486328125,8.1214
"218","CB",2015-05-02 20:00:00,2015,5,2,122,16,6.49695,29.9200929834768,341.1,408.3251953125,8.12755
"219","CB",2015-05-02 21:00:00,2015,5,2,122,17,6.73005,29.9757590556796,337.5,408.3251953125,8.1366
"220","CB",2015-05-02 22:00:00,2015,5,2,122,18,6.798,29.9366016053104,338.2,408.69140625,8.1363
"221","CB",2015-05-02 23:00:00,2015,5,2,122,19,6.7335,29.9444378066631,324.8,413.2080078125,8.1513
"222","CB",2015-05-03 00:00:00,2015,5,2,122,20,7.35715,29.9057775363132,300.7,413.9404296875,8.1858
"223","CB",2015-05-03 01:00:00,2015,5,2,122,21,7.7156,29.9476498906528,229.8,414.55078125,8.2751
"224","CB",2015-05-03 02:00:00,2015,5,2,122,22,7.68825,29.889308909356,291.9,414.4287109375,8.1814
"225","CB",2015-05-03 03:00:00,2015,5,2,122,23,7.2048,29.7875336818868,309.6,412.9638671875,8.16845
"226","CB",2015-05-03 04:00:00,2015,5,3,123,0,7.2815,29.7710077242183,324.5,412.9638671875,8.1383
"227","CB",2015-05-03 05:00:00,2015,5,3,123,1,7.0063,29.8675194398791,324.2,409.5458984375,8.15135
"228","CB",2015-05-03 06:00:00,2015,5,3,123,2,6.842,29.8846764108403,343.7,404.052734375,8.121
"229","CB",2015-05-03 07:00:00,2015,5,3,123,3,6.90135,29.8686349330586,348.5,406.005859375,8.11985
"230","CB",2015-05-03 08:00:00,2015,5,3,123,4,6.6038,29.9541032450735,351.2,400.7568359375,8.1169
